pub_end_date,n
2023-10-13,2
2023-10-06,2
2023-09-28,2
2020-12-27,2
2023-08-12,2
2023-08-15,2
2023-09-07,2
2020-09-15,2
2023-04-11,2
2020-08-11,2
2023-07-07,2
2021-01-03,2
2021-02-09,2
2021-03-09,2
2020-08-08,2
2022-08-23,2
2021-04-06,2
2023-10-25,2
2021-01-19,2
2022-12-06,2
2022-10-18,2
2022-06-24,2
2023-07-25,1
2020-03-17,1
2023-06-15,1
2020-09-01,1
2024-03-05,1
2023-07-04,1
2023-04-18,1
2023-05-02,1
2023-06-13,1
2023-09-19,1
2020-08-12,1
2020-08-18,1
2020-08-14,1
2023-06-27,1
2023-09-26,1
2020-12-15,1
2022-12-27,1
2023-01-03,1
2020-12-24,1
2020-08-13,1
2020-10-06,1
2022-04-26,1
2022-06-28,1
2022-08-02,1
2021-03-23,1
2022-07-19,1
2022-07-12,1
2022-05-31,1
2022-06-14,1
2020-06-23,1
2022-11-01,1
2022-10-28,1
2020-08-04,1
2023-10-24,1
2021-02-16,1
2021-01-26,1
2022-11-08,1
2023-10-17,1
2022-09-06,1
2021-02-23,1
2022-10-04,1
2022-09-20,1
2022-08-13,1
2022-08-16,1
2020-07-14,1
2022-08-09,1
2022-04-05,1
2023-12-19,1
2023-12-12,1
2022-05-03,1
2021-07-29,1
2020-05-05,1
2021-12-28,1
2022-03-22,1
2022-04-12,1
2021-05-11,1
2021-06-08,1
2021-07-13,1
2021-06-15,1
2021-05-18,1
2022-04-19,1
2021-08-25,1
2021-10-13,1
2021-10-01,1
2020-04-21,1
2021-08-13,1
2021-08-12,1
2021-08-24,1
2021-08-23,1
2021-10-26,1
2021-09-14,1
2021-10-15,1
2021-09-24,1
2021-09-30,1
2021-08-31,1
2021-09-07,1
2024-02-27,1
2020-03-10,1
